draw_no,first_prize,second_prize_1,second_prize_2,second_prize_3,city,draw_date,rolling_mean_first_prize_10,rolling_std_first_prize_10,rolling_entropy_first_prize_10,rolling_runs_first_prize_10,rolling_digit_dominance_first_prize_10,rolling_mean_second_prize_1_10,rolling_std_second_prize_1_10,rolling_entropy_second_prize_1_10,rolling_runs_second_prize_1_10,rolling_digit_dominance_second_prize_1_10,rolling_mean_second_prize_2_10,rolling_std_second_prize_2_10,rolling_entropy_second_prize_2_10,rolling_runs_second_prize_2_10,rolling_digit_dominance_second_prize_2_10,rolling_mean_second_prize_3_10,rolling_std_second_prize_3_10,rolling_entropy_second_prize_3_10,rolling_runs_second_prize_3_10,rolling_digit_dominance_second_prize_3_10,rolling_mean,rolling_std,rolling_entropy,rolling_runs,rolling_digit_dominance,first_prize_last_digit,first_prize_prev_last_digit,first_prize_transition_prob,first_prize_transition_surprise,second_prize_1_last_digit,second_prize_1_prev_last_digit,second_prize_1_transition_prob,second_prize_1_transition_surprise,second_prize_2_last_digit,second_prize_2_prev_last_digit,second_prize_2_transition_prob,second_prize_2_transition_surprise,second_prize_3_last_digit,second_prize_3_prev_last_digit,second_prize_3_transition_prob,second_prize_3_transition_surprise,last_digit,prev_last_digit,transition_prob,transition_surprise,expected_surprise,surprise_residual,surprise_zscore,is_anomaly
100,871778,249962,448780,499322,Faisalabad,2024-10-15,871778.0,0.0,0.0,0.0,0.9,249962.0,0.0,0.0,0.0,0.9,448780.0,0.0,0.0,0.0,0.9,499322.0,0.0,0.0,0.0,0.9,871778.0,0.0,0.0,0.0,0.9,8,,,,2,,,,0,,,,2,,,,8,0.0,0.0,0.0,0.0,0.0,0.0,0
99,827399,462355,565416,900097,Quetta,2024-07-15,849588.5,31380.691842277793,0.6931471805599453,2.0,0.8,356158.5,150184.5305765544,0.6931471805599453,2.0,0.8,507098.0,82474.10653047416,0.6931471805599453,2.0,0.8,699709.5,283390.72023003857,0.6931471805599453,2.0,0.8,849588.5,31380.691842277793,0.6931471805599453,2.0,0.8,9,8.0,0.25,1.3862943611198906,5,2.0,0.1111111111111111,2.1972245773362196,6,0.0,0.08333333333333333,2.4849066497880004,7,2.0,0.09090909090909091,2.3978952727983707,9,8.0,0.25,1.3862943611198906,0.6931471805599453,0.0,0.0,0
98,900286,134617,197462,314256,Hyderabad,2024-04-15,866487.6666666666,36730.360906657785,1.0986122886681096,3.0,0.7,282311.3333333333,166246.52984749284,1.0986122886681096,3.0,0.7,403886.0,188040.26152927996,1.0986122886681096,3.0,0.7,571225.0,299466.10889548087,1.0986122886681096,3.0,0.7,866487.6666666666,36730.360906657785,1.0986122886681096,3.0,0.7,6,9.0,0.125,2.0794415416798357,7,5.0,0.23076923076923078,1.466337068793427,2,6.0,0.14285714285714285,1.9459101490553135,6,7.0,0.3333333333333333,1.0986122886681098,6,9.0,0.125,2.0794415416798357,1.155245300933242,0.0,0.0,0
97,59936,87220,826748,892829,Sialkot,2024-01-15,664849.75,404389.42950113077,1.0397207708399179,4.0,1.6,233538.5,167153.90974488153,1.3862943611198906,4.0,0.6,509601.5,261296.43650778453,1.3862943611198906,4.0,0.6,651626.0,292649.81938943116,1.3862943611198906,4.0,0.6,664849.75,404389.42950113077,1.0397207708399179,4.0,1.6,6,6.0,0.1,2.3025850929940455,0,7.0,0.16666666666666666,1.791759469228055,8,2.0,0.4,0.916290731874155,9,6.0,0.15789473684210525,1.845826690498331,6,6.0,0.1,2.3025850929940455,1.442080248948443,0.0,0.0,0
96,593831,513366,827500,894418,Muzaffarabad,2023-10-16,650646.0,351648.74603715,1.3321790402101223,5.0,1.5,289504.0,191353.09798511234,1.6094379124341005,5.0,0.5,573181.2,267242.88963263365,1.3321790402101223,5.0,1.5,700184.4,275721.8320051932,1.6094379124341005,5.0,0.5,650646.0,351648.74603715,1.3321790402101223,5.0,1.5,1,6.0,0.2,1.6094379124341003,6,0.0,0.2857142857142857,1.252762968495368,0,8.0,0.11764705882352941,2.1400661634962708,8,9.0,0.2,1.6094379124341003,1,6.0,0.2,1.6094379124341003,1.4755517816455745,0.0,0.0,0
95,355591,81180,232448,747494,Rawalpindi,2023-07-17,601470.1666666666,336801.1994868288,1.3296613488547582,6.0,1.4,254783.33333333334,191117.64609649908,1.5607104090414066,6.0,1.4,516392.3333333333,276558.9664268123,1.3296613488547582,6.0,1.4,708069.3333333334,247368.25980199373,1.791759469228055,6.0,0.4,601470.1666666666,336801.1994868288,1.3296613488547582,6.0,1.4,1,1.0,0.25,1.3862943611198906,0,6.0,0.09090909090909091,2.3978952727983707,8,0.0,0.16666666666666666,1.791759469228055,4,8.0,0.25,1.3862943611198906,1,1.0,0.25,1.3862943611198906,1.4606755448912938,0.0,0.0,0
94,544692,79943,428117,608818,Peshawar,2023-04-17,593359.0,308204.0619773421,1.549826045878202,7.0,1.3,229806.14285714287,186561.82849074333,1.7478680974667575,7.0,1.3,503781.5714285714,254657.81774102096,1.5498260458782018,7.0,1.3,693890.5714285715,228910.0427139135,1.7478680974667573,7.0,1.3,593359.0,308204.0619773421,1.549826045878202,7.0,1.3,2,1.0,0.125,2.0794415416798357,3,0.0,0.42857142857142855,0.8472978603872037,7,8.0,0.11764705882352941,2.1400661634962708,8,4.0,0.09090909090909091,2.3978952727983707,2,1.0,0.125,2.0794415416798357,1.549070687289657,0.0,0.0,0
93,24128,546784,580518,765113,Karachi,2023-01-16,522205.125,349174.4146364341,1.559581156259877,8.0,1.2,269428.375,205894.38581740155,1.9061547465398494,8.0,1.2,513373.625,237323.1806015571,1.4941751382893083,8.0,2.2,702793.375,213420.24303903154,1.9061547465398496,8.0,1.2,522205.125,349174.4146364341,1.559581156259877,8.0,1.2,8,2.0,0.25,1.3862943611198906,4,3.0,0.2222222222222222,1.5040773967762742,8,7.0,0.125,2.0794415416798357,3,8.0,0.25,1.3862943611198906,8,2.0,0.25,1.3862943611198906,1.5287236465184362,0.0,0.0,0
92,141795,203689,317910,598900,Quetta,2022-10-17,479937.3333333333,350373.4026271115,1.7351264569629226,9.0,1.1,262124.0,193839.16243757348,2.0431918705451206,9.0,1.1,491655.44444444444,231359.28735254562,1.464816384890813,9.0,2.1,691249.6666666666,202617.8421073771,2.04319187054512,9.0,1.1,479937.3333333333,350373.4026271115,1.7351264569629226,9.0,1.1,5,8.0,0.5,0.6931471805599453,9,4.0,0.4444444444444444,0.8109302162163288,0,8.0,0.11764705882352941,2.1400661634962708,0,3.0,0.1,2.3025850929940455,5,8.0,0.5,0.6931471805599453,1.4358818169674927,0.0,0.0,0
91,722561,321896,828159,873486,Lahore,2022-07-15,504199.7,339128.259809389,1.6957425341696344,10.0,2.0,268101.2,183728.17782486288,2.0253262207700677,10.0,1.0,525305.8,242699.66290449508,1.6434177197931796,10.0,2.0,709473.3,199533.0639796879,2.0253262207700673,10.0,1.0,504199.7,339128.259809389,1.6957425341696344,10.0,2.0,1,5.0,0.06666666666666667,2.70805020110221,6,9.0,0.3,1.2039728043259361,9,0.0,0.16666666666666666,1.791759469228055,6,0.0,0.4,0.916290731874155,1,5.0,0.06666666666666667,2.70805020110221,1.5630986553809645,1.1449515457212456,1.4403465160979259,0
